,object id,city,district,sub district key,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition
0,49090,11,12,12301203,Wittenau Süd,2019,1,13,6,3,5,3,0,1,1,0,0,0,0,1
1,49091,11,3,3040818,Pankow Süd,2019,1,9,5,3,5,3,0,1,1,0,0,0,0,0
2,49093,11,12,12103115,Breitkopfbecken,2019,3,21,6,3,0,1,2,1,0,0,0,0,0,0
3,49096,11,6,6040703,Nikolassee,2019,1,7,6,2,6,4,1,0,1,1,0,0,0,1
4,49097,11,7,7030303,Grazer Platz,2019,2,15,3,3,2,6,0,0,1,0,0,0,0,0
5,49100,11,5,5020629,Börnicker Straße,2019,1,7,5,3,2,6,2,0,1,0,0,0,0,1
6,49101,11,5,5020524,Weinmeisterhornweg,2019,1,8,3,3,6,6,0,0,1,1,0,0,0,0
7,49105,11,2,2050602,Samariterviertel,2019,1,7,5,3,6,2,0,0,1,1,0,0,0,1
8,49106,11,5,5020524,Weinmeisterhornweg,2019,2,18,1,3,5,2,2,0,1,0,0,0,0,0
9,49109,11,7,7050502,Fritz-Werner-Straße,2019,1,17,5,3,3,2,2,0,1,0,0,0,1,0
10,49111,11,7,7040402,Lindenhofsiedlung,2019,1,18,5,3,2,6,2,0,1,0,0,0,1,0
11,49114,11,4,4051551,Brabanter Platz,2019,1,16,5,2,0,1,2,0,0,0,1,0,0,0
12,49115,11,4,4010101,Jungfernheide,2019,2,12,6,3,2,6,0,0,0,0,0,1,1,0
13,49118,11,1,1011204,Leipziger Straße,2019,3,13,5,3,2,6,0,0,1,0,0,0,0,0
14,49121,11,4,4041133,Güterbahnhof Grunewald,2019,1,17,4,3,2,6,2,0,1,0,0,0,0,1
15,49124,11,1,1011202,Unter den Linden Nord,2019,1,12,4,3,2,6,0,0,1,0,0,0,0,1
16,49125,11,3,3020209,Niederschönhausen,2019,1,13,4,3,5,3,0,0,1,0,0,1,0,0
17,49128,11,12,12103219,Schäfersee,2019,1,17,4,3,6,2,2,0,1,1,0,0,0,1
18,49131,11,9,9020601,Schnellerstraße,2019,1,6,4,3,3,6,2,0,1,0,1,0,0,1
19,49132,11,1,1033203,Humboldthain Nordwest,2019,2,6,7,2,5,2,2,0,1,0,1,0,0,0
20,49135,11,9,9010302,Späthsfelde,2019,1,5,4,3,3,6,2,0,1,0,0,1,0,1
21,49136,11,1,1011202,Unter den Linden Nord,2019,1,11,1,3,5,3,0,1,0,0,0,0,0,1
22,49140,11,2,2050602,Samariterviertel,2019,1,8,4,3,5,3,1,1,1,0,0,0,0,1
23,49141,11,12,12301203,Wittenau Süd,2019,2,15,6,3,5,3,0,0,1,0,0,0,1,0
24,49144,11,3,3061429,Greifswalder Straße,2019,1,7,4,3,6,4,2,0,1,1,0,0,0,1
25,49147,11,4,4010103,Paul-Hertz-Siedlung,2019,1,7,4,3,2,6,2,0,1,0,0,0,0,1
26,49150,11,6,6040703,Nikolassee,2019,1,7,4,2,6,2,2,0,1,1,0,0,0,1
27,49151,11,6,6030605,Botanischer Garten,2019,2,18,3,3,2,6,2,0,1,0,0,0,0,0
28,49154,11,6,6040702,Düppel,2019,1,9,3,3,2,6,0,0,1,0,0,0,0,1
29,49155,11,7,7050501,Rathausstraße,2019,2,10,7,3,2,6,0,0,1,0,0,0,0,0
30,49158,11,1,1011105,Nördlicher Landwehrkanal,2019,1,19,3,3,2,6,2,0,1,0,0,0,0,1
31,49160,11,2,2050802,Boxhagener Platz,2019,1,19,3,3,2,6,2,1,0,0,0,0,0,1
32,49163,11,7,7050502,Fritz-Werner-Straße,2019,1,17,3,3,5,3,2,0,1,0,0,0,0,1
33,49164,11,10,10010309,Springpfuhl,2019,2,10,4,2,5,3,0,1,1,0,0,0,0,0
34,49166,11,4,4041239,Stadion Wilmersdorf,2019,3,14,4,3,2,6,0,0,1,0,0,0,0,0
35,49169,11,3,3051017,Rennbahnstraße,2019,1,12,3,3,4,1,0,0,1,0,0,0,0,1
36,49172,11,7,7040401,Neu-Tempelhof,2019,1,19,2,3,6,4,2,0,0,1,0,0,1,1
37,49173,11,6,6040701,Wannsee,2019,1,17,4,2,0,1,2,0,0,0,1,0,0,1
38,49178,11,7,7050501,Rathausstraße,2019,1,12,1,3,6,2,0,0,1,1,0,0,0,0
39,49179,11,4,4041134,Bismarckallee,2019,2,5,6,3,0,1,1,0,0,0,1,0,0,1
40,49182,11,2,2050602,Samariterviertel,2019,1,11,7,3,5,2,0,0,1,0,0,0,0,0
41,49183,11,1,1011202,Unter den Linden Nord,2019,1,11,1,3,5,3,0,1,0,0,0,0,0,1
42,49186,11,12,12103218,Teichstraße,2019,1,7,6,3,2,2,1,0,1,0,0,0,0,1
43,49188,11,9,9010302,Späthsfelde,2019,1,19,6,3,2,6,2,0,1,0,0,0,0,0
44,49189,11,7,7070701,Kettinger Straße/Schillerstraße,2019,2,12,6,3,5,2,0,1,1,0,0,0,0,0
45,49192,11,3,3040818,Pankow Süd,2019,1,18,6,3,5,3,2,1,1,0,0,0,0,1
46,49194,11,3,3040513,Schönholz,2019,1,20,4,3,5,3,2,1,0,0,0,0,1,0
47,49196,11,7,7020203,Kaiser-Wilhelm-Platz,2019,1,18,6,3,1,5,2,1,1,0,0,0,0,1
48,49199,11,6,6010101,Fichtenberg,2019,1,18,5,3,5,2,2,1,1,0,0,0,0,0
49,49200,11,4,4030417,Schloßstraße,2019,2,2,7,2,0,1,2,0,1,0,0,0,0,1
50,49202,11,1,1011303,Alexanderplatzviertel,2019,3,17,7,3,2,7,1,1,1,0,0,0,0,0
51,49205,11,10,10010206,Ringkolonnaden,2019,1,18,4,3,2,6,2,0,1,0,0,0,0,1
52,49206,11,1,1022202,Heidestraße,2019,2,16,5,3,0,6,0,1,1,0,0,0,0,0
53,49209,11,7,7030303,Grazer Platz,2019,1,13,4,3,5,3,0,0,1,0,0,1,0,0
54,49210,11,3,3061126,Arnimplatz,2019,1,14,2,3,0,2,1,1,1,0,0,0,0,0
