,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail
0,49090,12,Wittenau Süd,2019,1,13,6,3,5,3,0,1,1,0,0,0,0,1,Reinickendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
1,49091,3,Pankow Süd,2019,1,9,5,3,5,3,0,1,1,0,0,0,0,0,Pankow,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
2,49093,12,Breitkopfbecken,2019,3,21,6,3,0,1,2,1,0,0,0,0,0,0,Reinickendorf,Accident with minor injuries,Others,Driving accident,Dark,Dry
3,49096,6,Nikolassee,2019,1,7,6,2,6,4,1,0,1,1,0,0,0,1,Steglitz-Zehlendorf,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Twilight,Wet/moist/slippery
4,49097,7,Grazer Platz,2019,2,15,3,3,2,6,0,0,1,0,0,0,0,0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry
5,49100,5,Börnicker Straße,2019,1,7,5,3,2,6,2,0,1,0,0,0,0,1,Spandau,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Dark,Wet/moist/slippery
6,49101,5,Weinmeisterhornweg,2019,1,8,3,3,6,6,0,0,1,1,0,0,0,0,Spandau,Accident with minor injuries,Collision between vehicle and pedestrian,Collision involving vehicles going in the same way,Daylight,Dry
7,49105,2,Samariterviertel,2019,1,7,5,3,6,2,0,0,1,1,0,0,0,1,Friedrichshain - Kreuzberg,Accident with minor injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Wet/moist/slippery
8,49106,5,Weinmeisterhornweg,2019,2,18,1,3,5,2,2,0,1,0,0,0,0,0,Spandau,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Dark,Dry
9,49109,7,Fritz-Werner-Straße,2019,1,17,5,3,3,2,2,0,1,0,0,0,1,0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a vehicle traveling laterally in the same direction,Turning accident,Dark,Dry
